company,cik,ticker,fiscal_year,concept,value,source_tag,end_date,filed,accn,sec_fy
FIRST CITIZENS BANCSHARES INC /DE/,0000798941,FCNCA,2024,Assets,223720000000,Assets,2024-12-31,2026-02-24,0000798941-26-000015,2025
FIRST CITIZENS BANCSHARES INC /DE/,0000798941,FCNCA,2025,Assets,229698000000,Assets,2025-12-31,2026-02-24,0000798941-26-000015,2025
FIRST CITIZENS BANCSHARES INC /DE/,0000798941,FCNCA,2024,Liabilities,201492000000,Liabilities,2024-12-31,2026-02-24,0000798941-26-000015,2025
FIRST CITIZENS BANCSHARES INC /DE/,0000798941,FCNCA,2025,Liabilities,207460000000,Liabilities,2025-12-31,2026-02-24,0000798941-26-000015,2025
FIRST CITIZENS BANCSHARES INC /DE/,0000798941,FCNCA,2024,Equity,22228000000,StockholdersEquity,2024-12-31,2026-02-24,0000798941-26-000015,2025
FIRST CITIZENS BANCSHARES INC /DE/,0000798941,FCNCA,2025,Equity,22238000000,StockholdersEquity,2025-12-31,2026-02-24,0000798941-26-000015,2025
FIRST CITIZENS BANCSHARES INC /DE/,0000798941,FCNCA,2024,NetIncome,2777000000,NetIncomeLoss,2024-12-31,2026-02-24,0000798941-26-000015,2025
FIRST CITIZENS BANCSHARES INC /DE/,0000798941,FCNCA,2025,NetIncome,2206000000,NetIncomeLoss,2025-12-31,2026-02-24,0000798941-26-000015,2025
M&T BANK CORPORATION,0000036270,MTB,2024,Assets,208105000000,Assets,2024-12-31,2026-02-18,0000036270-26-000010,2025
M&T BANK CORPORATION,0000036270,MTB,2025,Assets,213510000000,Assets,2025-12-31,2026-02-18,0000036270-26-000010,2025
M&T BANK CORPORATION,0000036270,MTB,2024,Liabilities,179078000000,Liabilities,2024-12-31,2026-02-18,0000036270-26-000010,2025
M&T BANK CORPORATION,0000036270,MTB,2025,Liabilities,184333000000,Liabilities,2025-12-31,2026-02-18,0000036270-26-000010,2025
M&T BANK CORPORATION,0000036270,MTB,2024,Equity,29027000000,StockholdersEquity,2024-12-31,2026-02-18,0000036270-26-000010,2025
M&T BANK CORPORATION,0000036270,MTB,2025,Equity,29177000000,StockholdersEquity,2025-12-31,2026-02-18,0000036270-26-000010,2025
M&T BANK CORPORATION,0000036270,MTB,2024,NetIncome,2588000000,NetIncomeLoss,2024-12-31,2026-02-18,0000036270-26-000010,2025
M&T BANK CORPORATION,0000036270,MTB,2025,NetIncome,2851000000,NetIncomeLoss,2025-12-31,2026-02-18,0000036270-26-000010,2025
Fifth Third Bancorp,0000035527,FITB,2024,Assets,212927000000,Assets,2024-12-31,2026-02-24,0000035527-26-000124,2025
Fifth Third Bancorp,0000035527,FITB,2025,Assets,214376000000,Assets,2025-12-31,2026-02-24,0000035527-26-000124,2025
Fifth Third Bancorp,0000035527,FITB,2024,Liabilities,193282000000,Liabilities,2024-12-31,2026-02-24,0000035527-26-000124,2025
Fifth Third Bancorp,0000035527,FITB,2025,Liabilities,192652000000,Liabilities,2025-12-31,2026-02-24,0000035527-26-000124,2025
Fifth Third Bancorp,0000035527,FITB,2024,Equity,19645000000,StockholdersEquity,2024-12-31,2026-02-24,0000035527-26-000124,2025
Fifth Third Bancorp,0000035527,FITB,2025,Equity,21724000000,StockholdersEquity,2025-12-31,2026-02-24,0000035527-26-000124,2025
Fifth Third Bancorp,0000035527,FITB,2024,NetIncome,2314000000,NetIncomeLoss,2024-12-31,2026-02-24,0000035527-26-000124,2025
Fifth Third Bancorp,0000035527,FITB,2025,NetIncome,2522000000,NetIncomeLoss,2025-12-31,2026-02-24,0000035527-26-000124,2025
Huntington Bancshares Incorporated,0000049196,HBAN,2024,Assets,204230000000,Assets,2024-12-31,2026-02-13,0000049196-26-000015,2025
Huntington Bancshares Incorporated,0000049196,HBAN,2025,Assets,225106000000,Assets,2025-12-31,2026-02-13,0000049196-26-000015,2025
Huntington Bancshares Incorporated,0000049196,HBAN,2024,Liabilities,184448000000,Liabilities,2024-12-31,2026-02-13,0000049196-26-000015,2025
Huntington Bancshares Incorporated,0000049196,HBAN,2025,Liabilities,200727000000,Liabilities,2025-12-31,2026-02-13,0000049196-26-000015,2025
Huntington Bancshares Incorporated,0000049196,HBAN,2024,Equity,19782000000,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2024-12-31,2026-02-13,0000049196-26-000015,2025
Huntington Bancshares Incorporated,0000049196,HBAN,2025,Equity,24379000000,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2025-12-31,2026-02-13,0000049196-26-000015,2025
Huntington Bancshares Incorporated,0000049196,HBAN,2024,NetIncome,1940000000,NetIncomeLoss,2024-12-31,2026-02-13,0000049196-26-000015,2025
Huntington Bancshares Incorporated,0000049196,HBAN,2025,NetIncome,2211000000,NetIncomeLoss,2025-12-31,2026-02-13,0000049196-26-000015,2025
Regions Financial Corporation,0001281761,RF,2024,Assets,157302000000,Assets,2024-12-31,2026-02-24,0001281761-26-000019,2025
Regions Financial Corporation,0001281761,RF,2025,Assets,158814000000,Assets,2025-12-31,2026-02-24,0001281761-26-000019,2025
Regions Financial Corporation,0001281761,RF,2024,Liabilities,139392000000,Liabilities,2024-12-31,2026-02-24,0001281761-26-000019,2025
Regions Financial Corporation,0001281761,RF,2025,Liabilities,139711000000,Liabilities,2025-12-31,2026-02-24,0001281761-26-000019,2025
Regions Financial Corporation,0001281761,RF,2024,Equity,17910000000,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2024-12-31,2026-02-24,0001281761-26-000019,2025
Regions Financial Corporation,0001281761,RF,2025,Equity,19103000000,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2025-12-31,2026-02-24,0001281761-26-000019,2025
Regions Financial Corporation,0001281761,RF,2024,NetIncome,1893000000,NetIncomeLoss,2024-12-31,2026-02-24,0001281761-26-000019,2025
Regions Financial Corporation,0001281761,RF,2025,NetIncome,2156000000,NetIncomeLoss,2025-12-31,2026-02-24,0001281761-26-000019,2025
KEYCORP /NEW/,0000091576,KEY,2024,Assets,187168000000,Assets,2024-12-31,2026-02-23,0001628280-26-010546,2025
KEYCORP /NEW/,0000091576,KEY,2025,Assets,184381000000,Assets,2025-12-31,2026-02-23,0001628280-26-010546,2025
KEYCORP /NEW/,0000091576,KEY,2024,Liabilities,168992000000,Liabilities,2024-12-31,2026-02-23,0001628280-26-010546,2025
KEYCORP /NEW/,0000091576,KEY,2025,Liabilities,164000000000,Liabilities,2025-12-31,2026-02-23,0001628280-26-010546,2025
